PID,Product Name,Category,Final Price,Initial Price,Color,Primary Color,Fabric
CL0032128, Ribbon illusion yoke tank top, Top,39.95,29.95, Spring green, Spring green, Cotton
CL0028105, Sash belted cotton poplin dress, Dress,64.95,45.95, Poppy red, Poppy red, Cotton
CL0031292, Retro poplin shirtdress, Dress,71.95,53.95, Spring green, Spring green, Cotton
CL0027563, Floral folk embellished shift dress, Dress,76.95,53.95, Poppy red multi, Poppy red multi, Cotton
CL0037049, Pinstripe cotton knit dress, Dress,59.95,44.95, Black/gray/white, Black, Cotton Spandex
CL0032311, Cotton knit fit and flare dress, Dress,69.95,52.95, Bottle green, Bottle green, Cotton Spandex
CL0034436, Contrast trim cotton knit dress, Dress,74.95,56.95, Royal blue/black, Royal blue, Cotton Spandex
CL0037056, Beaded tulle A-line gown, Dress,499.95,499.95, Off-white, Off-white, Polyester
CL0037113, Graphic floral vine print cotton dress, Dress,99.95,74.95, Indigo multi, Indigo multi, Cotton
CL0037039, Floral stripe print belted dress, Dress,59.95,44.95, Red/cream, Red, Cotton
CL0036925, Cotton eyelet piped trim sundress, Dress,99.95,69.95, Prussian blue/royal blue, Prussian blue, Cotton
CL0037070, Bow tie cutout back cotton knit dress, Dress,74.95,56.95, Orange, Orange, Cotton Spandex
CL0037164, One-shoulder satin gown, Dress,99.95,99.95, Cement gray, Cement gray, Polyester Nylon
CL0037059, Colorblock high-low cotton poplin dress, Dress,74.95,74.95, Deep navy/surf blue, Deep navy, Cotton
CL0037028, Floral bib tile print chiffon maxi dress, Dress,96.95,72.95, Deep brown/peach/mint, Deep brown, Polyester
CL0037096, Elastic waist gingham maxi dress, Dress,69.95,52.95, Black/white, Black, Cotton
CL0037109, Embellished poplin shift dress, Dress,96.95,72.95, Black/indigo/gold, Black, Cotton
CL0037111, Embellished chambray shift dress, Dress,81.95,61.95, Indigo/deep navy, Indigo, Cotton
CL0037065, Beaded tulle scallop trim dress, Dress,699.95,699.95, Off-white, Off-white, Polyester
CL0036635, Floral embellished tulle strapless gown, Dress,499.95,499.95, Ivory, Ivory, Cotton Polyester
CL0037165, Cutout back jersey knit gown, Dress,119.95,119.95, Coral, Coral, Viscose Spandex
CL0036944, Silk dupioni strapless wedding dress, Dress,299.95,299.95, Off-white, Off-white, Silk
CL0032954, Cross tie front cotton knit dress, Dress,69.95,52.95, Bottle green, Bottle green, Cotton Spandex
CL0037118, Embellished silk organza dress, Dress,699.95,699.95, Off-white, Off-white, Silk
CL0036582, Floral embellished tulle gown, Dress,599.95,599.95, Ivory, Ivory, Cotton Polyester
CL0036066, Fluted crepe back satin silk dress, Dress,699.95,699.95, Off-white, Off-white, Silk
CL0037047, Shelley dress, Dress,59.95,59.95, Surf blue, Surf blue, Cotton
CL0037156, Chevron stripe colorblock maxi dress, Dress,99.95,79.95, Spring green/white/deep navy, Spring green, Cotton
CL0032089, Illusion polka dot embellished poplin dress, Dress,81.95,61.95, Spring green/black, Spring green, Cotton
CL0031241, Graphic embroidery retro dress, Dress,76.95,57.95, Spring green, Spring green, Cotton
CL0031216, Chelsea dress, Dress,59.95,44.95, Spring green, Spring green, Cotton
