query,hits,clicks,clickThroughs,ctr,carts,orders,overall_score
Vintage dresses,36,69,26,72.22,12,0,117
colorblock dresses,33,61,24,72.73,22,0,116
Surplice ,24,85,18,75.0,6,1,116
Jersey dresses,30,78,22,73.33,8,0,116
pleated,32,79,20,62.5,4,0,115
gray dresses,35,78,25,71.43,2,0,115
black lace dresses,108,5,4,3.7,2,0,115
plus size tops,23,52,11,47.83,36,3,114
bicycle,55,58,24,43.64,0,1,114
georgette,29,77,17,58.62,7,0,113
Olivia ,38,68,27,71.05,6,1,113
horse,35,72,27,77.14,6,0,113
Voile,36,66,27,75.0,10,0,112
Bird print ,37,60,25,67.57,14,0,111
high to low,39,61,23,58.97,10,0,110
Chevron stripe colorblock dress-Spring green/black/cream,20,52,16,80.0,33,5,110
Lilian dress-Black,35,58,15,42.86,15,0,108
Cotton spandex ,31,70,25,80.65,6,1,108
fit and flare dresses ,25,66,17,68.0,13,3,107
crop tops,48,53,19,39.58,6,0,107
brooklyn dresses,34,68,28,82.35,5,0,107
Red heart embellished retro frock-Cream/red,20,72,8,40.0,14,0,106
Cutout ,35,68,26,74.29,2,0,105
long sleeve,24,68,14,58.33,12,0,104
crop ,38,64,24,63.16,2,0,104
lavender,43,52,13,30.23,6,2,103
Plus,27,67,17,62.96,8,0,102
Dahlia crinoline-Black,32,60,10,31.25,10,0,102
Morgan dress ,32,67,24,75.0,2,0,101
elastic,23,64,20,86.96,13,1,101
Daisy dress,20,60,17,85.0,21,0,101
chevron stripe dresses,30,53,24,80.0,16,0,99
curve,19,62,15,78.95,17,0,98
Polka ,31,47,21,67.74,20,0,98
A-line Dresses,30,57,20,66.67,10,0,97
Coral ,42,51,25,59.52,4,0,97
mesh ,15,71,12,80.0,11,0,97
 Pleat waist poplin shirtdress,39,54,25,64.1,2,1,96
Bib ,42,54,27,64.29,0,0,96
Sydney dress-Black/white,16,45,8,50.0,35,0,96
orange dress,33,49,19,57.58,14,0,96
Aqua ,19,64,11,57.89,12,0,95
Cotton knit fit and flare,24,62,17,70.83,8,0,94
Gold dresses,35,45,22,62.86,14,0,94
Cotton Poplin Dresses,21,65,15,71.43,8,0,94
sales,23,55,14,60.87,16,0,94
Bird print cotton poplin dress-Navy blue multi,42,42,10,23.81,7,1,92
Ellen ,32,52,17,53.13,7,1,92
gray,43,44,25,58.14,4,1,92
Sweetheart ,23,58,18,78.26,9,0,90
burgundy,33,35,9,27.27,22,0,90
cape,23,67,12,52.17,0,0,90
Cotton knit fit and flare dress-Black,24,60,11,45.83,5,0,89
Parrot ,19,65,17,89.47,4,0,88
Landscape,34,43,24,70.59,11,0,88
Rayon ,20,49,11,55.0,18,0,87
Tile print ,19,59,14,73.68,8,1,87
plum ,42,43,18,42.86,2,0,87
skater style cottone knit dress,21,60,14,66.67,6,0,87
shoes,51,31,12,23.53,3,1,86
Grace dress-Black,28,49,12,42.86,9,0,86
retro dresses,27,58,26,96.3,0,0,85
Lavender dress,24,57,11,45.83,4,0,85
CL0027567 ,17,45,13,76.47,23,0,85
Tulle dress,22,52,16,72.73,10,0,84
lilac ,17,54,11,64.71,13,0,84
crinoline skirts,21,56,11,52.38,6,1,84
Strapless ,25,56,19,76.0,2,0,83
Grace dress-Deep blue,15,62,5,33.33,5,0,82
Brooklyn dress-Brown,35,32,9,25.71,14,1,82
CL0034516 ,26,45,19,73.08,9,1,81
Fruit ,28,49,17,60.71,4,0,81
