query,hits,clicks,clickThroughs,ctr,carts,orders
Cotton knit curve waist dress,21,97,13,61.9,8,0
crinoline skirts,21,56,11,52.38,6,1
Tutu ,21,15,8,38.1,3,0
Nautical,21,20,6,28.57,0,0
Camo ,21,40,14,66.67,2,0
shirts,21,12,9,42.86,8,0
skater style cottone knit dress,21,60,14,66.67,6,0
Butterfly embellished colorblock dress-Juniper/black,20,33,13,65,16,0
Sets,20,20,8,40,4,0
Red heart embellished retro frock-Cream/red,20,72,8,40,14,0
Peach ,20,50,12,60,0,0
Rayon ,20,49,11,55,18,0
poppy,20,51,16,80,6,0
floral striped,20,24,16,80,2,0
Daisy dress,20,60,17,85,21,0
Pink flamingo print jacquard dress-White/pink/black,20,13,6,30,0,0
Shorts,20,15,10,50,0,0
off the shoulder,20,48,13,65,0,0
Star ,20,19,9,45,3,0
Grecian ,20,30,13,65,18,5
dress with pockets,20,31,12,60,0,0
silver ,20,10,8,40,2,0
 CL0033768,20,39,15,75,6,0
Printed,20,39,12,60,6,0
anchor dress ,20,20,14,70,0,0
Chevron stripe colorblock dress-Spring green/black/cream,20,52,16,80,33,5
Lillian ,20,19,9,45,2,0
light blue dresses,20,15,10,50,3,1
Keyhole ,20,226,14,70,2,0
chiffon Dresses,20,28,13,65,4,0
polka dot Dresses,20,45,14,70,9,0
Pants,20,26,14,70,0,0
Cotton knit fit and flare dress-Deep navy,20,27,6,30,0,0
retro poplin,19,33,14,73.68,2,0
Casual Chambray dresses,19,31,12,63.16,7,1
Little Black Dress,19,51,18,94.74,0,0
halter dresses,19,27,11,57.89,0,0
black and white ue dresses,19,10,8,42.11,12,0
Her fifties piped trim dress-White/black,19,15,4,21.05,0,0
cotton poplin,19,50,14,73.68,6,0
Khaki ,19,13,6,31.58,4,0
Bird print bolero style dress-Off-white/pink/black,19,25,6,31.58,3,0
VICTORIA DRESS ,19,41,19,100,9,1
curve,19,62,15,78.95,17,0
Citron floral print dress-Citron multi,19,46,7,36.84,2,0
 CL0036477,19,34,6,31.58,5,0
Jacquard ,19,110,13,68.42,9,0
gingham check dresses,19,37,11,57.89,1,0
Lilian dress-Prussian blue,19,20,7,36.84,2,0
embellished dress,19,48,12,63.16,2,0
Parrot ,19,65,17,89.47,4,0
contrast trim ,19,30,13,68.42,8,0
Vest ,19,9,4,21.05,4,0
Trellis waist cotton knit dress-Royal blue,19,28,8,42.11,11,0
Jasmine,19,42,11,57.89,1,0
Brooklyn dress-Black,19,26,6,31.58,2,0
satin,19,50,13,68.42,12,0
Aqua ,19,64,11,57.89,12,0
pleated cotton knit dress,19,16,10,52.63,6,0
work,19,23,13,68.42,3,0
formal,19,8,5,26.32,0,0
Tile print ,19,59,14,73.68,8,1
Asymmetric ,19,22,12,63.16,2,0
Denim jumpsuit ,18,7,6,33.33,0,0
suits,18,5,4,22.22,0,0
joggers,18,46,10,55.56,0,0
Morgan dress-White,18,41,9,50,5,0
black tops,18,34,16,88.89,8,0
Bohemian ,18,140,17,94.44,168,0
wedding dresses,18,22,12,66.67,0,0
Scarfs,18,37,11,61.11,0,0
fit-and-Flare dresses,18,46,14,77.78,6,0
Birdcage,18,37,8,44.44,0,0
ashley,18,22,4,22.22,0,0
shipping,18,14,7,38.89,0,1
mint,18,24,10,55.56,2,0
elephant,18,27,12,66.67,4,0
clearance,18,42,11,61.11,16,3
Crepe dresses ,18,40,15,83.33,13,0
Embellished floral yoke poplin dress-Black multi,17,24,7,41.18,5,0
Illusion,17,15,11,64.71,2,0
leaf,17,30,8,47.06,9,0
lilac ,17,54,11,64.71,13,0
umbrellas,17,34,3,17.65,0,0
sizing chart,17,24,9,52.94,5,0
Spectacle,17,14,11,64.71,2,0
Chambray maxi,17,36,14,82.35,4,0
Havanna ,17,37,13,76.47,8,1
CL0036758 ,17,28,13,76.47,30,0
CL0027567 ,17,45,13,76.47,23,0
Vibrant umbrella print dress ,17,39,12,70.59,7,0
embroidered dress,17,33,9,52.94,6,0
Colorblock stripe poplin dress-Black/white,17,39,9,52.94,6,2
1920s,17,11,6,35.29,0,0
Bow tie back woven ikat check dress-Red/navy/white,17,24,6,35.29,6,0
bird print dresses,17,36,13,76.47,6,1
Tile print cotton trapeze dress-Navy/white/orange,17,23,7,41.18,6,0
cherry,17,7,5,29.41,0,0
Light blue ,16,16,12,75,0,0
Scallop applique banded retro frock-Black/white,16,14,6,37.5,2,1
Lilian dress ,16,42,13,81.25,1,0
Embellished floral organza dress-Off-white/aqua,16,20,4,25,2,0
Cowl neck birdsong dress-Navy blue,16,14,4,25,0,1
Graphic flying bird print cotton dress-Black/off-white,16,44,7,43.75,2,0
Elastic waist gingham maxi dress-Black/white,16,9,1,6.25,0,0
Two tone bird print cotton dress-White/navy,16,30,4,25,2,0
Sydney dress-Black/white,16,45,8,50,35,0
Peasant ,16,78,13,81.25,30,1
Tropical,16,61,12,75,4,0
"""contrast trim poplin dress""",16,48,16,100,16,0
"""prussian blue""",16,12,7,43.75,0,0
Bow tie ,16,27,11,68.75,13,0
coral dresses,16,23,10,62.5,2,0
floral prints ,16,42,12,75,4,0
wool,16,8,5,31.25,0,0
annabell,16,27,6,37.5,0,0
vintage style knit dress,16,23,13,81.25,6,0
Beige,16,10,3,18.75,0,0
Drape neck cotton knit dress-Royal blue,16,41,8,50,6,1
Bridesmaids ,16,13,8,50,0,0
Fifties ,16,11,6,37.5,0,0
zip front,16,29,12,75,0,0
Customize,16,14,6,37.5,0,0
Citron ,16,25,14,87.5,2,0
skorts,15,34,11,73.33,2,0
Ruffle hem cotton check shirtdress-White/gray/pink,15,23,6,40,6,0
      Tie neck poplin dress  ,15,32,13,86.67,6,0
Grace dress-Deep blue,15,62,5,33.33,5,0
tie neck dresses,15,32,11,73.33,2,0
floral vines,15,35,11,73.33,1,1
pineapple,15,7,7,46.67,5,0
Floral stripe print stretch sateen dress-Off-white/light indigo,15,33,8,53.33,12,1
faux wrap ,15,18,10,66.67,0,0
Chevron embellished fit-and-flare dress-Off-white/black,15,6,3,20,4,1
Curve waist,15,22,10,66.67,6,2
Collared,15,36,9,60,6,0
burgundy dress,15,14,7,46.67,0,0
mesh ,15,71,12,80,11,0
Tie-neck cotton knit dress,15,51,13,86.67,6,0
Stripes and Blocks dresses,15,27,13,86.67,3,1
Chambray denim jumpsuit-Deep indigo,15,25,7,46.67,2,0
floral print Dresses,15,13,7,46.67,2,0
drop waist dresses,15,22,11,73.33,0,0
tops,15,26,10,66.67,7,0
cocktail dresses,15,39,7,46.67,0,0
Trees ,15,29,10,66.67,4,1
Bike ,15,22,3,20,0,0
leggings,15,12,6,40,4,0
gauze,15,34,8,53.33,6,0
Floral embellished tulle dress ,15,27,11,73.33,3,0
Cotton poplin A-line shirtdress,15,50,14,93.33,4,2
Polka dot chiffon surplice dress-Deep navy/orange,15,4,2,13.33,0,0
Polka dot Print Dresses,15,15,7,46.67,2,0
Referal,14,28,2,14.29,8,1
royal blue dresses,14,16,9,64.29,2,0
Kisses,14,5,2,14.29,8,0
maroon,14,12,7,50,0,0
Mens,14,16,5,35.71,4,0
mint dresses,14,12,8,57.14,0,0
Belted stripe poplin dress-White/juniper green/deep navy,14,2,2,14.29,2,1
Corset style cotton poplin dress-Prussian blue,14,3,2,14.29,0,0
Grecian goddess knit dress-Royal blue,14,6,4,28.57,6,0
 Olivia dress,14,14,8,57.14,0,0
Taffeta trim stretch crepe maxi dress-Black,14,33,6,42.86,6,0
toga,14,17,10,71.43,2,0
Alexandra ,14,49,11,78.57,8,0
print dresses,14,24,10,71.43,0,0
olive,14,7,5,35.71,0,0
Violet ,14,13,7,50,0,0
Her fifties,14,21,10,71.43,0,0
"	Citron floral print dress",14,18,11,78.57,5,3
floral embellished dresses,14,20,12,85.71,2,1
tie. ,14,36,12,85.71,10,0
V neck ,14,16,10,71.43,2,0
candy,14,20,5,35.71,0,0
High waisted ,14,46,10,71.43,4,0
Checked dress,14,31,9,64.29,2,0
Seamed empire cotton knit dress,14,15,5,35.71,9,0
Princess ,14,45,12,85.71,4,0
Fall ,14,52,7,50,0,0
Pleated knit,14,12,6,42.86,0,0
Contrast ,14,27,7,50,4,0
1940s,14,8,4,28.57,4,0
crimson,14,19,5,35.71,8,0
watercolor ,14,27,9,64.29,0,0
